Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,92222,2022-02-24,-0.012858556,0.1148942312,0.0450143726,21,100
Market-Adjusted Model,92230,2022-02-24,-0.097302158,-0.028845137,-0.03942923,21,100
Market-Adjusted Model,92240,2022-02-24,0.0567833407,0.114986037,0.1146562692,21,100
Market-Adjusted Model,92245,2022-02-24,0.1656365884,0.2169850847,0.2235095169,21,100
Market-Adjusted Model,92246,2022-02-24,-0.134823848,-0.081713544,-0.07695092,21,100
Market-Adjusted Model,92247,2022-02-24,-0.009370123,0.0486299335,0.0485028057,21,100
Market-Adjusted Model,92248,2022-02-24,0.5086820381,0.5146375772,0.5665549667,21,100
Market-Adjusted Model,92249,2022-02-24,-0.030087521,0.0277656502,0.0277854073,21,100
Market-Adjusted Model,92251,2022-02-24,0.0226918075,0.0808196206,0.0805647361,21,100
Market-Adjusted Model,92252,2022-02-24,-0.057884615,0.0125105586,-0.000011687,21,100
Market-Adjusted Model,92257,2022-02-24,-0.13954717,-0.086383077,-0.081674241,21,100
Market-Adjusted Model,92261,2022-02-24,-0.156775448,-0.107857577,-0.09890252,21,100
Market-Adjusted Model,92262,2022-02-24,0.3377483444,0.363579151,0.3956212729,21,100
Market-Adjusted Model,92271,2022-02-24,0.0015649452,0.0605221085,0.0594378737,21,100
Market-Adjusted Model,92273,2022-02-24,-0.012597196,0.0440759734,0.0452757327,21,100
Market-Adjusted Model,92274,2022-02-24,0.0383246073,0.0963715941,0.0961975358,21,100
Market-Adjusted Model,92279,2022-02-24,-0.127004768,-0.0761204,-0.06913184,21,100
Market-Adjusted Model,92280,2022-02-24,-0.057562077,-0.000031585,0.0003108518,21,100
Market-Adjusted Model,92291,2022-02-24,-0.021076189,0.0354699847,0.0367967394,21,100
Market-Adjusted Model,92293,2022-02-24,-0.111220279,-0.056913318,-0.053347351,21,100
Market-Adjusted Model,92294,2022-02-24,0.7781569966,0.6877121319,0.8360299251,21,100
Market-Adjusted Model,92301,2022-02-24,0.0104947526,0.0848085641,0.0683676811,21,100
Market-Adjusted Model,92303,2022-02-24,0.0292537313,0.0864078079,0.0871266599,21,100
Market-Adjusted Model,92309,2022-02-24,-0.06914436,-0.011834955,-0.011271431,21,100
Market-Adjusted Model,92318,2022-02-24,-0.035158681,0.0250964054,0.0227142477,21,100
Market-Adjusted Model,92322,2022-02-24,0.0415671416,0.1056887982,0.0994400702,21,100
Market-Adjusted Model,92326,2022-02-24,0.1268081003,0.2044268936,0.1846810288,21,100
Market-Adjusted Model,92336,2022-02-24,-0.015993104,0.0406134761,0.0418798246,21,100
Market-Adjusted Model,92337,2022-02-24,-0.016301207,0.0403295158,0.0415717215,21,100
Market-Adjusted Model,92343,2022-02-24,0.0290889133,0.0879745481,0.0869618418,21,100
Market-Adjusted Model,92345,2022-02-24,-0.120024876,-0.059594508,-0.062151947,21,100
Market-Adjusted Model,92347,2022-02-24,-0.020779076,0.0357587386,0.0370938525,21,100
Market-Adjusted Model,92348,2022-02-24,-0.02624877,0.0301722695,0.0316241588,21,100
Market-Adjusted Model,92349,2022-02-24,-0.027821772,0.0285880143,0.0300511562,21,100
Market-Adjusted Model,92350,2022-02-24,-0.009451143,0.0480100223,0.048421786,21,100
Market-Adjusted Model,92351,2022-02-24,-0.117827926,-0.066379409,-0.059954998,21,100
Market-Adjusted Model,92352,2022-02-24,0.1884608031,0.2450263597,0.2463337316,21,100
Market-Adjusted Model,92353,2022-02-24,0.0962515447,0.1524878395,0.1541244732,21,100
Market-Adjusted Model,92354,2022-02-24,-0.160121129,-0.107687666,-0.102248201,21,100
Market-Adjusted Model,92355,2022-02-24,-0.207602339,-0.161929652,-0.149729411,21,100
Market-Adjusted Model,92357,2022-02-24,-0.006780776,0.0499143419,0.0510921528,21,100
Market-Adjusted Model,92360,2022-02-24,-0.032153743,0.024311109,0.0257191858,21,100
Market-Adjusted Model,92377,2022-02-24,-0.042589118,0.0150244812,0.0152838103,21,100
Market-Adjusted Model,92379,2022-02-24,-0.069620937,-0.006999653,-0.011748009,21,100
Market-Adjusted Model,92380,2022-02-24,0.2201834862,0.2715077304,0.2780564148,21,100
Market-Adjusted Model,92385,2022-02-24,-0.113125453,-0.058132651,-0.055252525,21,100
Market-Adjusted Model,92390,2022-02-24,-0.070726172,-0.014510395,-0.012853244,21,100
Market-Adjusted Model,92396,2022-02-24,0.0552050473,0.1149921582,0.1130779758,21,100
Market-Adjusted Model,92397,2022-02-24,-0.185366993,-0.143679705,-0.127494064,21,100
Market-Adjusted Model,92398,2022-02-24,-0.150206292,-0.102606856,-0.092333363,21,100
Market-Adjusted Model,92400,2022-02-24,0.0726643599,0.1385750093,0.1305372884,21,100
Market-Adjusted Model,92402,2022-02-24,-0.146426886,-0.094802104,-0.088553957,21,100
Market-Adjusted Model,92405,2022-02-24,-0.284646348,-0.255311503,-0.22677342,21,100
Market-Adjusted Model,92407,2022-02-24,-0.000200603,0.0564997624,0.0576723256,21,100
Market-Adjusted Model,92408,2022-02-24,-0.01989299,0.0368120457,0.0379799383,21,100
Market-Adjusted Model,92409,2022-02-24,0.5300924644,0.497274799,0.5879653929,21,100
Market-Adjusted Model,92410,2022-02-24,0.1574189771,0.2117972731,0.2152919056,21,100
Market-Adjusted Model,92411,2022-02-24,0.2444381432,0.2867733536,0.3023110717,21,100
Market-Adjusted Model,92412,2022-02-24,0.1205392546,0.1735985081,0.1784121831,21,100
Market-Adjusted Model,92426,2022-02-24,0.1985767536,0.2495465179,0.2564496822,21,100
Market-Adjusted Model,92427,2022-02-24,-0.130434783,-0.03652539,-0.072561854,21,100
Market-Adjusted Model,92428,2022-02-24,0.055636896,0.1241766047,0.1135098246,21,100
Market-Adjusted Model,92432,2022-02-24,0.1752084188,0.222588339,0.2330813473,21,100
Market-Adjusted Model,92439,2022-02-24,-0.023633678,0.0346287263,0.0342392505,21,100
Market-Adjusted Model,92441,2022-02-24,-0.127156848,-0.07197542,-0.069283919,21,100
Market-Adjusted Model,92443,2022-02-24,-0.023963731,0.0361078324,0.0339091979,21,100
Market-Adjusted Model,92448,2022-02-24,0.0182025028,0.0757793311,0.0760754314,21,100
Market-Adjusted Model,92449,2022-02-24,-0.122839506,-0.064356598,-0.064966578,21,100
Market-Adjusted Model,92456,2022-02-24,-0.150957447,-0.091177693,-0.093084518,21,100
Market-Adjusted Model,92466,2022-02-24,0.0325732899,0.1065476894,0.0904462184,21,100
Market-Adjusted Model,92467,2022-02-24,-0.302325581,-0.249649341,-0.244452653,21,100
Market-Adjusted Model,92468,2022-02-24,0.1061452514,0.186404569,0.1640181799,21,100
Market-Adjusted Model,92469,2022-02-24,-0.029695024,0.0474413158,0.0281779044,21,100
Market-Adjusted Model,92470,2022-02-24,0.2757442438,0.3243000429,0.3336171723,21,100
Market-Adjusted Model,92471,2022-02-24,-0.107814992,-0.044159987,-0.049942064,21,100
Market-Adjusted Model,92475,2022-02-24,-0.115384615,-0.043062929,-0.057511687,21,100
Market-Adjusted Model,92477,2022-02-24,-0.0530428,0.0064371213,0.0048301284,21,100
Market-Adjusted Model,92486,2022-02-24,0.2671232877,0.3390486651,0.3249962162,21,100
Market-Adjusted Model,92488,2022-02-24,-0.05121683,0.0058893909,0.0066560983,21,100
Market-Adjusted Model,92489,2022-02-24,-0.065083826,-0.008009092,-0.007210898,21,100
Market-Adjusted Model,92490,2022-02-24,-0.079123113,-0.022263151,-0.021250184,21,100
Market-Adjusted Model,92491,2022-02-24,-0.075600153,-0.020894867,-0.017727224,21,100
